#STARTDIALOGUE				
Do you smoke? 	do you smoke	[ Contempt1 ]No.  I always hated the smell.	do you smoke	True
Do you smoke? 	do you smoke	[ Contempt1 ]No.  I always hated the smell.	do you smoke	True
Do you drink alcohol? 	do you drink	A beer or 2 at football games, or a glass of wine now and then. Nothing much more than that.	do you drink	True
Have you used marijauna, street drugs, or prescription drugs to get high in the last year?	do you use illegal drugs	[ Contempt4 ]No, never.  I have seen too many people go down that path.  I never touch the stuff.	do you use illegal drugs	True
What kind of work do you do? 	what do you do for a living	I am an auto mechanic.  I have my own garage where  I do repairs and custom restorations.	what do you do for a living	True
Tell me about the stress in your life	are you stressed	I really don't get stressed. If I do get a little stressed, I just work on one of my cars to relax.	are you stressed	True
So how are your spirits these days? 	none	I really don't drink that much. Maybe one or two beers at football games. A glass of wine now and then.	how much do you drink	False
Are you getting any pleasure in life? 	are you happy	I am happy.	are you happy	True
How is your sleep?	do you have any trouble sleeping	I'm sleeping ok.	do you have any trouble sleeping	True
Does anyone live at home with you? 	who do you live with	I live alone.	who do you live with	True
Is there someone special in your life? 	are you dating anyone	I'm afraid I don't understand that question.	none	False
Do you have a partner? 	are you in a relationship	I do not.	are you in a relationship	True
Do you consider yourself to be a religious person?	what is your religious preference	I don't have a preference.	what is your religious preference	True
Thank you for cooperating, Mr. Wilkins	thanks	[ Happiness2 ]Thank you	thanks	True
#STARTDIALOGUE				
Hi Mr. Wilkins, My name is Madonna Enwe and I am a medical student.  	i am medical student	Nice to meet you.	i am medical student	True
Is it okay if I call you Jim?	do you mind if I call you jim	I'm afraid I don't understand that question.	none	False
Do you feel comfortable?	you seem uncomfortable	I haven't noticed any numbness or tingling in my back or anywhere else.	do you have numbness or tingling	False
Can you tall me why you came in today?	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
Can you tell me more about the pain?	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
How long have you been feeling this pain?	how long have you had the pain	Almost a week I think.	how long have you had the pain	True
Did the pain increase over time?	is the pain constant	I'm sorry, I don't understand that question. Would you restate it?	none	False
Does the pain radiate to other parts of the body?	does the pain radiate	What? Only the pain in my lower back.	are you having any other pain	False
On a scale of 1 to 10 can you describe the pain?	can you rate the pain	It's a dull ache right in the middle of my lower back.	describe the pain	False
Have you taken any other drugs for the pain?	are you taking any other medication for pain	No.	are you taking any other medication for pain	True
hAVE YOU HAD BACK PAIN BEFORE?	have you had back pain before	I have had some back pain previously. Maybe four or five years ago. It was similar to my pain now but back then just a couple of regular strength Tylenol took care of it and it was gone in one day.	have you had back pain before	True
Have you ever been hospitalized?	have you ever been in the hospital	I avoid those places. I hope to avoid them all of my life.	have you ever been in the hospital	True
Have you had surgery before?	any prior surgeries	I have never had any surgeries.  I have gotten stitches a few times when I have done stupid things like slice my finger, but I haven't had any in years.	any prior surgeries	True
Do you have any allergies?	do you have any allergies	I am not allergic to anything that I know of	do you have any allergies	True
what other medications are you taking?	are you taking any other medication	I am taking baby aspirin once a day as a preventative for my heart. It was prescribed by my doctor. She said it would be a good idea at my age.	are you taking any other medication	True
Can you tell me about your family?	how is your family	My parents are fine but I have no brothers and sisters.	how is your family	True
Has any of your parents been diagnosed with a disease?	any family history of illness	Nothing that I can think of. My parents are healthy and they donn't have any unusual illnesses. I don't really know much about my grandparents.	any family history of illness	True
who do you live with at home?	who do you live with	Jim Wilkins	what is your name	False
where do you work?	where do you work	[ Happiness2 ]I have my own auto repair garage.	where do you work	True
what else do you do everyday?	what do you do for fun	I'm sorry, I don't understand that question. Would you restate it?	none	False
How often do you drink?	how much do you drink	I really don't drink that much. Maybe one or two beers at football games. A glass of wine now and then.	how much do you drink	True
Have you smoked before?	do you smoke	I'm sorry, I don't understand that question. Would you restate it?	none	False
Have you ever been daignosed with an illness?	have you ever had any serious illnesses	This back pain is my first real issue.	have you ever had any serious illnesses	True
how has the back pain affected your life?	how has this affected you	[ Fear1 ]I haven't been able to work.	how has this affected you	True
how does that makek you feel?	none	[ Pain2 ]Well I would be doing pretty well if my back weren't hurting so badly.	how are you	False
do you exercise?	do you exercise	Don't exercise that much. Occasionally I go jogging or for a long walk.  I am always on my feet for work though.	do you exercise	True
what do you eat daily?	what do you eat each day	I don't know. The usual stuff, like spaghetti, meatloaf that sort of thing.	what do you eat each day	True
do you take any dietary supplements?	are you taking supplements	I'm taking Saw Palmetto. I'm not sure if it is considered an herbal supplement or what.	are you taking supplements	True
do you have a partner?	are you in a relationship	I do not.	are you in a relationship	True
are you sexually active?	are you sexually active	I am not currently  sexually active.	are you sexually active	True
do you think you are under any form of stress?	are you stressed	I really don't get stressed. If I do get a little stressed, I just work on one of my cars to relax.	are you stressed	True
how has your job been?	how is work	I'm sorry, I don't understand that question. Would you restate it?	none	False
did you have any childhood illnesses?	do you have any medical problems	I really don't have any chronic type problems. This back pain is really the worst thing I have had.	do you have any medical problems	True
where does your family come from?	none	I live here in town. Not very far from here actually.	where do you live	False
is there anything else you want to talk about?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
how is your daily activity affected by the pain?	can you do normal activities	[ Fear1 ]Even grocery shopping is hard.  The other day I had to ask a little old lady to get something off of a shelf for me!  I have had to virtually stop working on the cars in my shop.	can you do normal activities	True
can you describe the pain?	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
are there any things can increase the pain?	what makes the pain worse	I'm sorry, I don't understand that question. Would you restate it?	none	False
when does the pain become worse	is the pain constant	[ Fear2 ]It is pretty bad. My back hurts all the time and I can't even work.	how intense is the pain	False
have you noticed anything else with the pain?	any other problems	[ Pain3 ]My back is really hurting.  If it weren't for my back, I would be doing ok.	do you have any pain	False
#STARTDIALOGUE				
Hello, Mr. Wilkins. It's nice to meet you. How are you?	how are you	[ Pain2 ]Well I would be doing pretty well if my back weren't hurting so badly.	how are you	True
So your back has been bothering you...I'm sorry to hear that. Before I ask you some more about that, is there anything else you want to talk about today?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
So tell me more about your back pain.	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
And when was that?	when did the pain start	I'm afraid I don't understand that question.	none	False
Has your back ever hurt like this before?	have you had back pain before	I had some back pain about 4 or 5 years ago, but that was fine after one day and one tylenol.	have you had back pain before	True
Okay, so tylenol helped last time. Have you tried any medication for your pain this time?	are you taking any medication for the pain	[ Pain3 ]My back is really hurting.  If it weren't for my back, I would be doing ok.	do you have any pain	False
Have you tried medication like tylenol for the pain?	are you taking any medication for the pain	[ Pain3 ]My back is really hurting.  If it weren't for my back, I would be doing ok.	do you have any pain	False
Can you describe the pain for me a little more?	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
Does it ever spread to other areas?	does the pain radiate	I had some back pain about 4 or 5 years ago, but that was fine after one day and one tylenol.	have you had back pain before	False
Is the pain isolated in your back?	none	Nope, no pain in my back	do you have any pain in your hip	False
Is the pain only in your back?	none	Nope, no pain in my back	do you have any pain in your hip	False
Is the pain only in your back?	none	I have no pain in my back	do you have any pain in your hip	False
I thought you said you were having back pain.	none	I have no back pain	do you have any hip pain	False
What kind of pain is it?	describe the pain	[ Pain1 ]It hurts quite a bit now, although not as bad as when I twist or something.  Right now it is mostly stiff.	how is your pain now	False
Does it hurt more at night?	is the frequent urination worse in the morning or at night	Not really sure.	is the frequent urination worse in the morning or at night	True
So it's not waking you up at night or anything like that?	does the frequent urination keep you up at night	It does not.	does the frequent urination keep you up at night	True
Have you felt any numbness or tingling in your limbs?	do you have numbness or tingling	I haven't noticed any numbness or tingling in my back or anywhere else.	do you have numbness or tingling	True
Is there anything that makes it better?	what makes the pain better	[ Sadness2 ]The only thing that seems to help some is ibuprofen, and that doesn't help all that much.	what makes the pain better	True
